"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","4","Trips per person per year","385","364","5668","5215",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","26","Trips per person per year","2854","2321","5668","5215",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","7","Trips per person per year","754","609","5668","5215",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","231","Trips per person per year","25064","20775","5668","5215",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","809","Trips per person per year","40748","37051","2625","2560",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","159","Trips per person per year","7986","7355","2625","2560",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","177","Trips per person per year","8905","8164","2625","2560",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","132","Trips per person per year","6666","6295","2625","2560",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","26","Trips per person per year","1285","1096","2625","2560",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","44","Trips per person per year","2227","1987","2625","2560",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","34","Trips per person per year","1724","1515","2625","2560",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","495","393","2625","2560",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","213","Trips per person per year","10720","9548","2625","2560",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","859","Trips per person per year","21473","19102","1304","1228",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","15","Trips per person per year","381","327","1304","1228",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","54","Trips per person per year","1359","1219","1304","1228",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","170","Trips per person per year","4257","3802","1304","1228",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","238","Trips per person per year","5943","5687","1304","1228",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","49","Trips per person per year","1218","1054","1304","1228",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","28","Trips per person per year","689","565","1304","1228",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","263","Trips per person per year","6576","5622","1304","1228",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","784","Trips per person per year","17055","14651","1134","1034",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","76","Trips per person per year","1660","1366","1134","1034",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","226","Trips per person per year","4921","4392","1134","1034",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","140","Trips per person per year","3043","2897","1134","1034",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","28","Trips per person per year","603","472","1134","1034",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","36","Trips per person per year","779","635","1134","1034",""
"Average trips per year by mode of transport","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
