"Ethnicity","Local Authority","Girls","Boys"
"Mixed","Leeds","73","58"
"Mixed","Leicester","74","61"
"Mixed","Leicestershire","78","62"
"Mixed","Lewisham","83","71"
"Mixed","Lincolnshire","72","66"
"Mixed","Liverpool","73","51"
"Mixed","Luton","75","63"
"Mixed","Manchester","75","59"
"Mixed","Medway","77","76"
"Mixed","Merton","89","67"
"Mixed","Middlesbrough","56","59"
"Mixed","Milton Keynes","86","67"
"Mixed","Newcastle upon Tyne","76","73"
"Mixed","Newham","87","71"
"Mixed","Norfolk","82","75"
"Mixed","North East Lincolnshire","82","66"
"Mixed","North Lincolnshire","71","67"
"Mixed","North Somerset","77","70"
"Mixed","North Tyneside","74","68"
"Mixed","North Yorkshire","83","69"
"Mixed","Northamptonshire","75","59"
"Mixed","Northumberland","70","69"
"Mixed","Nottingham","72","61"
"Mixed","Nottinghamshire","79","57"
"Mixed","Oldham","78","55"
"Mixed","Oxfordshire","81","63"
"Mixed","Peterborough","87","59"
"Mixed","Plymouth","73","66"
"Mixed","Portsmouth","78","67"
"Mixed","Reading","81","64"
"Mixed","Redbridge","84","74"
"Mixed","Redcar and Cleveland","68","82"
"Mixed","Richmond upon Thames","85","76"
"Mixed","Rochdale","81","46"
"Mixed","Rotherham","74","59"
"Mixed","Rutland","67","100"
"Mixed","Salford","78","55"
"Mixed","Sandwell","75","60"
"Mixed","Sefton","69","77"
"Mixed","Sheffield","76","59"
"Mixed","Shropshire","91","81"
"Mixed","Slough","79","69"
"Mixed","Solihull","74","53"
"Mixed","Somerset","72","66"
"Mixed","South Gloucestershire","83","62"
"Mixed","South Tyneside","71","67"
"Mixed","Southampton","85","63"
"Mixed","Southend-on-Sea","77","74"
"Mixed","Southwark","83","74"
"Mixed","St. Helens","67","71"
"Mixed","Staffordshire","78","69"
"Mixed","Stockport","70","56"
"Mixed","Stockton-on-Tees","73","71"
"Mixed","Stoke-on-Trent","70","57"
"Mixed","Suffolk","78","61"
"Mixed","Sunderland","66","66"
"Mixed","Surrey","86","75"
"Mixed","Sutton","79","62"
"Mixed","Swindon","81","61"
"Mixed","Tameside","75","57"
"Mixed","Telford and Wrekin","83","71"
"Mixed","Thurrock","79","75"
"Mixed","Torbay","78","82"
"Mixed","Tower Hamlets","78","60"
"Mixed","Trafford","76","62"
"Mixed","Wakefield","84","59"
"Mixed","Walsall","75","55"
"Mixed","Waltham Forest","84","77"
"Mixed","Wandsworth","78","67"
"Mixed","Warrington","75","67"
"Mixed","Warwickshire","80","63"
"Mixed","West Berkshire","80","71"
"Mixed","West Sussex","80","67"
"Mixed","Westminster","79","58"
"Mixed","Wigan","75","61"
"Mixed","Wiltshire","77","58"
"Mixed","Windsor and Maidenhead","84","63"
"Mixed","Wirral","84","65"
"Mixed","Wokingham","84","72"
"Mixed","Wolverhampton","75","66"
"Mixed","Worcestershire","75","70"
"Mixed","York","72","64"
"White","Barking and Dagenham","78","60"
"White","Barnet","82","70"
"White","Barnsley","78","60"
"White","Bath and North East Somerset","79","69"
"White","Bedford Borough","75","63"
"White","Bexley","82","70"
"White","Birmingham","74","60"
"White","Blackburn with Darwen","74","60"
"White","Blackpool","73","61"
"White","Bolton","76","59"
"White","Bournemouth Christchurch and Poole","83","67"
"White","Bracknell Forest","82","71"
"White","Bradford","75","62"
"White","Brent","80","66"
"White","Brighton and Hove","79","66"
"White","Bristol City of","79","65"
"White","Bromley","86","73"
"White","Buckinghamshire","83","69"
"White","Bury","78","68"
"White","Calderdale","80","65"
"White","Cambridgeshire","78","63"
"White","Camden","80","66"
"White","Central Bedfordshire","79","66"
"White","Cheshire East","79","66"
"White","Cheshire West and Chester","78","64"
"White","City of London","100","83"
"White","Cornwall","77","61"
"White","Coventry","74","63"
"White","Croydon","79","70"
"White","Cumbria","78","62"
"White","Darlington","77","65"
"White","Derby","77","62"
"White","Derbyshire","77","63"
"White","Devon","79","67"
"White","Doncaster","79","65"
"White","Dorset","78","66"
"White","Dudley","75","57"
"White","Durham","78","64"
"White","Ealing","78","69"
"White","East Riding of Yorkshire","81","66"
"White","East Sussex","83","69"
"White","Enfield","76","60"
"White","Essex","80","68"
"White","Gateshead","80","66"
"White","Gloucestershire","79","65"
"White","Greenwich","83","73"
"White","Hackney","82","75"
"White","Halton","75","57"
"White","Hammersmith and Fulham","83","72"
"White","Hampshire","83","71"
"White","Haringey","83","71"
"White","Harrow","79","67"
"White","Hartlepool","79","64"
"White","Havering","78","64"
"White","Herefordshire","81","72"
"White","Hertfordshire","80","67"
"White","Hillingdon","78","65"
"White","Hounslow","76","65"
"White","Isle of Wight","76","64"
"White","Isles of Scilly","73","92"
"White","Islington","78","61"
"White","Kensington and Chelsea","81","69"
"White","Kent","80","68"
"White","Kingston Upon Hull City of","72","57"
"White","Kingston upon Thames","83","73"
"White","Kirklees","79","65"
"White","Knowsley","75","58"
"White","Lambeth","82","72"
"White","Lancashire","76","62"
"White","Leeds","75","61"
"White","Leicester","69","57"
"White","Leicestershire","78","65"
"White","Lewisham","86","78"
"White","Lincolnshire","77","62"
"White","Liverpool","72","59"
"White","Luton","74","59"
"White","Manchester","74","58"
"White","Medway","79","67"
"White","Merton","82","72"
"White","Middlesbrough","70","55"
"White","Milton Keynes","79","66"
"White","Newcastle upon Tyne","78","65"
"White","Newham","83","65"
"White","Norfolk","79","65"
"White","North East Lincolnshire","78","63"
"White","North Lincolnshire","78","65"
"White","North Somerset","80","69"
"White","North Tyneside","77","66"
"White","North Yorkshire","79","66"
"White","Northamptonshire","77","64"
"White","Northumberland","82","68"
"White","Nottingham","73","56"
"White","Nottinghamshire","78","64"
"White","Oldham","78","63"
"White","Oxfordshire","81","68"
"White","Peterborough","72","59"
