"Ethnicity","Local authority","%"
"White","Greenwich","80"
"White","Hackney","86"
"White","Halton","78"
"White","Hammersmith and Fulham","89"
"White","Hampshire","88"
"White","Haringey","83"
"White","Harrow","80"
"White","Hartlepool","81"
"White","Havering","85"
"White","Herefordshire, County of","87"
"White","Hertfordshire","84"
"White","Hillingdon","82"
"White","Hounslow","84"
"White","Isle of Wight","80"
"White","Isles of Scilly","!"
"White","Islington","83"
"White","Kensington and Chelsea","88"
"White","Kent","85"
"White","Kingston upon Hull, City of","80"
"White","Kingston upon Thames","87"
"White","Kirklees","82"
"White","Knowsley","78"
"White","Lambeth","88"
"White","Lancashire","82"
"White","Leeds","79"
"White","Leicester","75"
"White","Leicestershire","83"
"White","Lewisham","87"
"White","Lincolnshire","80"
"White","Liverpool","77"
"White","Luton","72"
"White","Manchester","78"
"White","Medway","80"
"White","Merton","89"
"White","Middlesbrough","78"
"White","Milton Keynes","83"
"White","Newcastle upon Tyne","82"
"White","Newham","77"
"White","Norfolk","83"
"White","North East Lincolnshire","83"
"White","North Lincolnshire","82"
"White","North Somerset","87"
"White","North Tyneside","85"
"White","North Yorkshire","84"
"White","Northamptonshire","83"
"White","Northumberland","85"
"White","Nottingham","75"
"White","Nottinghamshire","83"
"White","Oldham","79"
"White","Oxfordshire","86"
"White","Peterborough","76"
"White","Plymouth","80"
"White","Portsmouth","84"
"White","Reading","81"
"White","Redbridge","80"
"White","Redcar and Cleveland","82"
"White","Richmond upon Thames","92"
"White","Rochdale","79"
"White","Rotherham","81"
"White","Rutland","86"
"White","Salford","81"
"White","Sandwell","76"
"White","Sefton","84"
"White","Sheffield","81"
"White","Shropshire","85"
"White","Slough","79"
"White","Solihull","85"
"White","Somerset","85"
"White","South Gloucestershire","86"
"White","South Tyneside","84"
"White","Southampton","81"
"White","Southend-on-Sea","86"
"White","Southwark","87"
"White","St. Helens","79"
"White","Staffordshire","84"
"White","Stockport","87"
"White","Stockton-on-Tees","84"
"White","Stoke-on-Trent","79"
"White","Suffolk","80"
"White","Sunderland","81"
"White","Surrey","87"
"White","Sutton","85"
"White","Swindon","83"
"White","Tameside","80"
"White","Telford and Wrekin","84"
"White","Thurrock","79"
"White","Torbay","81"
"White","Tower Hamlets","83"
"White","Trafford","88"
"White","Wakefield","80"
"White","Walsall","78"
"White","Waltham Forest","85"
"White","Wandsworth","91"
"White","Warrington","83"
"White","Warwickshire","84"
"White","West Berkshire","86"
"White","West Sussex","83"
"White","Westminster","86"
"White","Wigan","81"
"White","Wiltshire","83"
"White","Windsor and Maidenhead","90"
"White","Wirral","79"
"White","Wokingham","89"
"White","Wolverhampton","77"
"White","Worcestershire","83"
"White","York","86"
"Other","Barking and Dagenham","85"
"Other","Barnet","78"
"Other","Barnsley","67"
"Other","Bath and North East Somerset","45"
"Other","Bedford","84"
"Other","Bexley","80"
"Other","Birmingham","74"
"Other","Blackburn with Darwen","79"
"Other","Blackpool","70"
"Other","Bolton","70"
"Other","Bournemouth, Christchurch and Poole","79"
"Other","Bracknell Forest","78"
"Other","Bradford","69"
"Other","Brent","72"
"Other","Brighton and Hove","62"
"Other","Bristol, City of","66"
"Other","Bromley","80"
"Other","Buckinghamshire","87"
"Other","Bury","68"
"Other","Calderdale","69"
"Other","Cambridgeshire","81"
"Other","Camden","80"
"Other","Central Bedfordshire","79"
"Other","Cheshire East","73"
"Other","Cheshire West and Chester","57"
"Other","City of London","!"
"Other","Cornwall","57"
"Other","County Durham","73"
"Other","Coventry","71"
"Other","Croydon","79"
"Other","Cumbria","71"
"Other","Darlington","64"
"Other","Derby","70"
"Other","Derbyshire","76"
"Other","Devon","67"
"Other","Doncaster","63"
"Other","Dorset","76"
"Other","Dudley","64"
"Other","Ealing","78"
"Other","East Riding of Yorkshire","81"
"Other","East Sussex","53"
"Other","Enfield","77"
"Other","Essex","83"
"Other","Gateshead","64"
"Other","Gloucestershire","79"
"Other","Greenwich","87"
"Other","Hackney","78"
"Other","Halton","56"
"Other","Hammersmith and Fulham","79"
"Other","Hampshire","81"
"Other","Haringey","78"
"Other","Harrow","78"
"Other","Hartlepool","56"
"Other","Havering","80"
"Other","Herefordshire, County of","60"
"Other","Hertfordshire","73"
"Other","Hillingdon","80"
"Other","Hounslow","82"
"Other","Isle of Wight","50"
"Other","Isles of Scilly","!"
"Other","Islington","78"
"Other","Kensington and Chelsea","84"
"Other","Kent","78"
"Other","Kingston upon Hull, City of","70"
"Other","Kingston upon Thames","83"
"Other","Kirklees","71"
"Other","Knowsley","86"
"Other","Lambeth","77"
"Other","Lancashire","60"
"Other","Leeds","72"
"Other","Leicester","80"
"Other","Leicestershire","78"
"Other","Lewisham","89"
"Other","Lincolnshire","74"
"Other","Liverpool","66"
"Other","Luton","80"
"Other","Manchester","72"
"Other","Medway","76"
"Other","Merton","88"
"Other","Middlesbrough","61"
