"Measure","Ethnicity","Academic year","Tariff marker","Number","Value","Value_note"
"First year entrants to HE institutions by tariff","Total","2016/17","Total","778115","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2017/18","High","201995","81.2","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2017/18","High","9485","3.8","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2017/18","High","23810","9.6","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2017/18","High","9930","4","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2017/18","High","3500","1.4","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2017/18","High","6025","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2017/18","High","254750","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2017/18","Low","165155","73.2","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2017/18","Low","25680","11.4","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2017/18","Low","22200","9.8","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2017/18","Low","8690","3.9","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2017/18","Low","3940","1.7","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2017/18","Low","3630","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2017/18","Low","229295","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2017/18","Medium","171045","70.8","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2017/18","Medium","21365","8.8","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2017/18","Medium","34295","14.2","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2017/18","Medium","9770","4","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2017/18","Medium","5015","2.1","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2017/18","Medium","4060","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2017/18","Medium","245550","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2017/18","Other","39960","88.8","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2017/18","Other","1650","3.7","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2017/18","Other","1840","4.1","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2017/18","Other","1190","2.6","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2017/18","Other","380","0.8","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2017/18","Other","1050","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2017/18","Other","46065","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2017/18","Total","578155","76","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2017/18","Total","58180","7.6","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2017/18","Total","82145","10.8","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2017/18","Total","29580","3.9","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2017/18","Total","12835","1.7","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2017/18","Total","14765","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2017/18","Total","775660","N/A","Tariff denom"
