"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Type_of_role","Value","Value_type","Pay_per_pound_paid_to_White_staff_by_gender","Pay_per_pound_paid_to_male_staff_by_ethnicity"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Unknown","ONS 2011 5+1","England","Country","Women","All","2509","GBP","1.04","0.73"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","White","ONS 2011 5+1","England","Country","Women","All","2416","GBP","N/A","0.79"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","All","ONS 2011 5+1","England","Country","All","Medical","5447","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Asian","ONS 2011 5+1","England","Country","All","Medical","5368","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Black","ONS 2011 5+1","England","Country","All","Medical","4796","GBP","0.85","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Mixed","ONS 2011 5+1","England","Country","All","Medical","4823","GBP","0.85","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Other","ONS 2011 5+1","England","Country","All","Medical","5286","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Unknown","ONS 2011 5+1","England","Country","All","Medical","5037","GBP","0.89","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","White","ONS 2011 5+1","England","Country","All","Medical","5647","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","All","ONS 2011 5+1","England","Country","Men","Medical","5798","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Asian","ONS 2011 5+1","England","Country","Men","Medical","5717","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Black","ONS 2011 5+1","England","Country","Men","Medical","5144","GBP","0.85","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Mixed","ONS 2011 5+1","England","Country","Men","Medical","5073","GBP","0.84","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Other","ONS 2011 5+1","England","Country","Men","Medical","5563","GBP","0.92","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Unknown","ONS 2011 5+1","England","Country","Men","Medical","5383","GBP","0.89","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","White","ONS 2011 5+1","England","Country","Men","Medical","6036","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","All","ONS 2011 5+1","England","Country","Women","Medical","5019","GBP","N/A","0.87"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Asian","ONS 2011 5+1","England","Country","Women","Medical","4842","GBP","0.92","0.85"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Black","ONS 2011 5+1","England","Country","Women","Medical","4358","GBP","0.83","0.85"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Mixed","ONS 2011 5+1","England","Country","Women","Medical","4518","GBP","0.86","0.89"
