"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 65 or over","All","All","All","78.5","4721","6012","7097"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All Age Group","All","All","All","67.8","12757","18816","21997"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","4.2","8","197","185"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","20.5","200","976","996"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","39","458","1174","1309"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","47.4","393","829","895"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","54.7","243","444","494"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 65 or over","All","All","All","66.8","316","472","540"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All Age Group","All","All","All","39.5","1618","4093","4419"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 16 - 24","All","All","All","9.4","71","752","851"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 25 - 34","All","All","All","37.8","1260","3336","3640"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 35 - 44","All","All","All","54.3","2150","3960","4602"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 45 - 54","All","All","All","66.9","3048","4554","5100"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 55 - 64","All","All","All","73.5","2810","3824","4586"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 65 or over","All","All","All","77.7","5037","6485","7637"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All Age Group","All","All","All","62.7","14375","22910","26416"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North East","61.8","671","1086","1470"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North West","65.9","1812","2748","3381"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","Yorkshire and the Humber","64.1","1272","1986","2431"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East Midlands","70.4","1194","1695","2091"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","West Midlands","67","1318","1968","2265"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East","69.7","1532","2197","2575"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","London","63.2","1079","1706","1581"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South East","71.9","2312","3215","3729"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South West","70.8","1568","2215","2474"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All Region","67.8","12757","18816","21997"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North East","43.9","27","61","77"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North West","44.4","156","352","430"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","Yorkshire and the Humber","42.4","120","283","339"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East Midlands","42.3","109","257","305"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","West Midlands","49","193","394","444"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East","43.8","145","331","389"
