"Ethnicity","Geography","%","Pupils"
"Mixed","Havering","47.6","143"
"Mixed","Herefordshire, County of","35.1","37"
"Mixed","Hertfordshire","54.8","797"
"Mixed","Hillingdon","49.0","339"
"Mixed","Hounslow","45.1","237"
"Mixed","Isle of Wight","46.7","15"
"Mixed","Isles of Scilly","100.0","1"
"Mixed","Islington","38.1","181"
"Mixed","Kensington and Chelsea","55.5","119"
"Mixed","Kent","52.8","716"
"Mixed","Kingston upon Hull, City of","40.0","55"
"Mixed","Kingston upon Thames","59.0","134"
"Mixed","Kirklees","33.1","254"
"Mixed","Knowsley","0.0","12"
"Mixed","Lambeth","41.1","258"
"Mixed","Lancashire","44.6","258"
"Mixed","Leeds","35.2","369"
"Mixed","Leicester","27.5","229"
"Mixed","Leicestershire","40.8","260"
"Mixed","Lewisham","42.8","297"
"Mixed","Lincolnshire","54.3","162"
"Mixed","Liverpool","41.2","228"
"Mixed","Luton","34.4","183"
"Mixed","Manchester","35.7","375"
"Mixed","Medway","44.1","136"
"Mixed","Merton","37.6","149"
"Mixed","Middlesbrough","40.9","44"
"Mixed","Milton Keynes","33.3","192"
"Mixed","Newcastle upon Tyne","50.6","77"
"Mixed","Newham","40.5","210"
"Mixed","Norfolk","47.0","181"
"Mixed","North East Lincolnshire","39.1","23"
"Mixed","North Lincolnshire","44.0","25"
"Mixed","North Somerset","53.7","54"
"Mixed","North Tyneside","56.7","30"
"Mixed","North Yorkshire","56.4","110"
"Mixed","Northamptonshire","40.5","333"
"Mixed","Northumberland","53.8","39"
"Mixed","Nottingham","30.8","240"
"Mixed","Nottinghamshire","44.4","277"
"Mixed","Oldham","26.2","107"
"Mixed","Oxfordshire","44.8","324"
"Mixed","Peterborough","34.6","130"
"Mixed","Plymouth","51.1","47"
"Mixed","Poole","67.9","53"
"Mixed","Portsmouth","37.7","61"
"Mixed","Reading","44.0","91"
"Mixed","Redbridge","51.1","231"
"Mixed","Redcar and Cleveland","56.3","16"
"Mixed","Richmond upon Thames","44.1","145"
"Mixed","Rochdale","32.4","74"
"Mixed","Rotherham","27.9","68"
"Mixed","Rutland","80.0","10"
"Mixed","Salford","32.3","99"
"Mixed","Sandwell","26.1","241"
"Mixed","Sefton","36.7","60"
"Mixed","Sheffield","34.0","294"
"Mixed","Shropshire","37.9","58"
"Mixed","Slough","60.2","133"
"Mixed","Solihull","32.6","218"
"Mixed","Somerset","39.3","84"
"Mixed","South Gloucestershire","40.4","99"
"Mixed","South Tyneside","36.0","25"
"Mixed","Southampton","37.9","103"
"Mixed","Southend-on-Sea","57.8","83"
"Mixed","Southwark","48.5","260"
"Mixed","St. Helens","48.3","29"
"Mixed","Staffordshire","34.9","229"
"Mixed","Stockport","43.5","108"
"Mixed","Stockton-on-Tees","63.4","41"
"Mixed","Stoke-on-Trent","27.5","80"
"Mixed","Suffolk","38.8","263"
"Mixed","Sunderland","33.3","33"
"Mixed","Surrey","54.1","495"
