"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Greenwich","Local authority","E09000011","Girls","6-7","83","%","1742","1441"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hackney","Local authority","E09000012","All","6-7","80","%","2674","2143"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hackney","Local authority","E09000012","Boys","6-7","78","%","1352","1056"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hackney","Local authority","E09000012","Girls","6-7","82","%","1322","1087"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Halton","Local authority","E06000006","All","6-7","71","%","1582","1131"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Halton","Local authority","E06000006","Boys","6-7","73","%","839","610"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Halton","Local authority","E06000006","Girls","6-7","70","%","743","521"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hammersmith and Fulham","Local authority","E09000013","All","6-7","80","%","1433","1140"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hammersmith and Fulham","Local authority","E09000013","Boys","6-7","79","%","707","557"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hammersmith and Fulham","Local authority","E09000013","Girls","6-7","80","%","726","583"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hampshire","Local authority","E10000014","All","6-7","80","%","15875","12625"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hampshire","Local authority","E10000014","Boys","6-7","79","%","8186","6430"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hampshire","Local authority","E10000014","Girls","6-7","81","%","7689","6195"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Haringey","Local authority","E09000014","All","6-7","77","%","3017","2335"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Haringey","Local authority","E09000014","Boys","6-7","78","%","1569","1217"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Haringey","Local authority","E09000014","Girls","6-7","77","%","1448","1118"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Harrow","Local authority","E09000015","All","6-7","80","%","3159","2524"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Harrow","Local authority","E09000015","Boys","6-7","78","%","1618","1262"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Harrow","Local authority","E09000015","Girls","6-7","82","%","1541","1262"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hartlepool","Local authority","E06000001","All","6-7","75","%","1197","899"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hartlepool","Local authority","E06000001","Boys","6-7","72","%","635","458"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hartlepool","Local authority","E06000001","Girls","6-7","78","%","562","441"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Havering","Local authority","E09000016","All","6-7","79","%","3279","2580"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Havering","Local authority","E09000016","Boys","6-7","77","%","1682","1296"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Havering","Local authority","E09000016","Girls","6-7","80","%","1597","1284"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Herefordshire, County of","Local authority","E06000019","All","6-7","79","%","1939","1539"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Herefordshire, County of","Local authority","E06000019","Boys","6-7","76","%","994","752"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Herefordshire, County of","Local authority","E06000019","Girls","6-7","83","%","945","787"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hertfordshire","Local authority","E10000015","All","6-7","76","%","14697","11225"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Hertfordshire","Local authority","E10000015","Boys","6-7","76","%","7502","5690"
