"Ethnicity","geography","%"
"Mixed","York","80"
"White","Barking and Dagenham","78"
"White","Barnet","85"
"White","Barnsley","80"
"White","Bath and North East Somerset","88"
"White","Bedford","79"
"White","Bexley","85"
"White","Birmingham","78"
"White","Blackburn with Darwen","83"
"White","Blackpool","79"
"White","Bolton","82"
"White","Bournemouth","85"
"White","Bracknell Forest","88"
"White","Bradford","78"
"White","Brent","82"
"White","Brighton and Hove","88"
"White","Bristol, City of","83"
"White","Bromley","87"
"White","Buckinghamshire","88"
"White","Bury","83"
"White","Calderdale","81"
"White","Cambridgeshire","83"
"White","Camden","86"
"White","Central Bedfordshire","86"
"White","Cheshire East","84"
"White","Cheshire West and Chester","83"
"White","City of London","!"
"White","Cornwall","82"
"White","County Durham","84"
"White","Coventry","80"
"White","Croydon","85"
"White","Cumbria","85"
"White","Darlington","83"
"White","Derby","80"
"White","Derbyshire","85"
"White","Devon","86"
"White","Doncaster","80"
"White","Dorset","85"
"White","Dudley","83"
"White","Ealing","85"
"White","East Riding of Yorkshire","87"
"White","East Sussex","85"
"White","Enfield","75"
"White","Essex","84"
"White","Gateshead","84"
"White","Gloucestershire","84"
"White","Greenwich","83"
"White","Hackney","86"
"White","Halton","78"
"White","Hammersmith and Fulham","88"
"White","Hampshire","88"
"White","Haringey","84"
"White","Harrow","83"
"White","Hartlepool","82"
"White","Havering","87"
"White","Herefordshire, County of","87"
"White","Hertfordshire","85"
"White","Hillingdon","83"
"White","Hounslow","85"
"White","Isle of Wight","78"
"White","Isles of Scilly","!"
"White","Islington","85"
"White","Kensington and Chelsea","88"
"White","Kent","86"
"White","Kingston upon Hull, City of","77"
"White","Kingston upon Thames","88"
"White","Kirklees","83"
"White","Knowsley","77"
"White","Lambeth","89"
"White","Lancashire","83"
"White","Leeds","80"
"White","Leicester","74"
"White","Leicestershire","84"
"White","Lewisham","87"
"White","Lincolnshire","81"
"White","Liverpool","77"
"White","Luton","77"
"White","Manchester","80"
"White","Medway","83"
"White","Merton","86"
"White","Middlesbrough","77"
"White","Milton Keynes","84"
"White","Newcastle upon Tyne","83"
"White","Newham","78"
"White","Norfolk","84"
"White","North East Lincolnshire","80"
"White","North Lincolnshire","82"
"White","North Somerset","88"
"White","North Tyneside","85"
"White","North Yorkshire","85"
"White","Northamptonshire","83"
"White","Northumberland","86"
"White","Nottingham","75"
"White","Nottinghamshire","84"
"White","Oldham","81"
"White","Oxfordshire","87"
"White","Peterborough","78"
"White","Plymouth","79"
"White","Poole","84"
"White","Portsmouth","84"
"White","Reading","81"
"White","Redbridge","80"
"White","Redcar and Cleveland","85"
"White","Richmond upon Thames","92"
"White","Rochdale","81"
"White","Rotherham","82"
