"Ethnicity","Geography","boys","girls"
"Mixed","Calderdale","62","64"
"Mixed","Cambridgeshire","68","79"
"Mixed","Camden","65","78"
"Mixed","Central Bedfordshire","69","75"
"Mixed","Cheshire East","67","77"
"Mixed","Cheshire West and Chester","68","82"
"Mixed","City of London","!","!"
"Mixed","Cornwall","65","77"
"Mixed","County Durham","69","72"
"Mixed","Coventry","60","72"
"Mixed","Croydon","66","78"
"Mixed","Cumbria","61","80"
"Mixed","Darlington","62","83"
"Mixed","Derby","66","79"
"Mixed","Derbyshire","65","82"
"Mixed","Devon","64","74"
"Mixed","Doncaster","60","85"
"Mixed","Dorset","68","81"
"Mixed","Dudley","56","79"
"Mixed","Ealing","60","80"
"Mixed","East Riding of Yorkshire","77","85"
"Mixed","East Sussex","70","85"
"Mixed","Enfield","73","82"
"Mixed","Essex","69","78"
"Mixed","Gateshead","77","85"
"Mixed","Gloucestershire","66","82"
"Mixed","Greenwich","62","83"
"Mixed","Hackney","75","80"
"Mixed","Halton","74","87"
"Mixed","Hammersmith and Fulham","70","80"
"Mixed","Hampshire","74","81"
"Mixed","Haringey","76","84"
"Mixed","Harrow","66","81"
"Mixed","Hartlepool","50","85"
"Mixed","Havering","65","84"
"Mixed","Herefordshire, County of","75","84"
"Mixed","Hertfordshire","68","79"
"Mixed","Hillingdon","67","77"
"Mixed","Hounslow","71","83"
"Mixed","Isle of Wight","61","74"
"Mixed","Isles of Scilly","!","!"
"Mixed","Islington","64","71"
"Mixed","Kensington and Chelsea","77","84"
"Mixed","Kent","74","84"
"Mixed","Kingston upon Hull, City of","65","68"
"Mixed","Kingston upon Thames","68","79"
"Mixed","Kirklees","48","73"
"Mixed","Knowsley","57","77"
"Mixed","Lambeth","71","82"
"Mixed","Lancashire","62","77"
"Mixed","Leeds","56","72"
"Mixed","Leicester","56","70"
"Mixed","Leicestershire","63","75"
"Mixed","Lewisham","69","75"
"Mixed","Lincolnshire","63","74"
"Mixed","Liverpool","57","72"
"Mixed","Luton","59","80"
"Mixed","Manchester","61","77"
"Mixed","Medway","72","83"
"Mixed","Merton","62","76"
"Mixed","Middlesbrough","64","78"
"Mixed","Milton Keynes","63","83"
"Mixed","Newcastle upon Tyne","76","82"
"Mixed","Newham","71","81"
"Mixed","Norfolk","65","74"
"Mixed","North East Lincolnshire","79","81"
"Mixed","North Lincolnshire","84","86"
"Mixed","North Somerset","65","77"
"Mixed","North Tyneside","67","86"
"Mixed","North Yorkshire","68","87"
"Mixed","Northamptonshire","66","74"
"Mixed","Northumberland","76","89"
"Mixed","Nottingham","59","71"
"Mixed","Nottinghamshire","63","79"
"Mixed","Oldham","58","81"
"Mixed","Oxfordshire","60","81"
"Mixed","Peterborough","56","77"
"Mixed","Plymouth","55","76"
"Mixed","Poole","76","67"
"Mixed","Portsmouth","67","79"
"Mixed","Reading","64","68"
"Mixed","Redbridge","71","79"
"Mixed","Redcar and Cleveland","87","76"
"Mixed","Richmond upon Thames","74","84"
"Mixed","Rochdale","62","73"
"Mixed","Rotherham","61","82"
"Mixed","Rutland","50","100"
"Mixed","Salford","63","77"
"Mixed","Sandwell","54","76"
"Mixed","Sefton","54","87"
"Mixed","Sheffield","59","72"
"Mixed","Shropshire","62","73"
"Mixed","Slough","63","79"
"Mixed","Solihull","68","74"
"Mixed","Somerset","73","80"
"Mixed","South Gloucestershire","70","88"
"Mixed","South Tyneside","52","64"
"Mixed","Southampton","62","78"
"Mixed","Southend-on-Sea","64","82"
"Mixed","Southwark","66","83"
"Mixed","St. Helens","56","84"
"Mixed","Staffordshire","65","83"
"Mixed","Stockport","62","69"
"Mixed","Stockton-on-Tees","67","73"
"Mixed","Stoke-on-Trent","68","79"
"Mixed","Suffolk","59","82"
"Mixed","Sunderland","63","82"
"Mixed","Surrey","72","84"
"Mixed","Sutton","68","80"
"Mixed","Swindon","69","82"
"Mixed","Tameside","60","83"
"Mixed","Telford and Wrekin","66","73"
"Mixed","Thurrock","65","81"
"Mixed","Torbay","63","82"
"Mixed","Tower Hamlets","69","72"
"Mixed","Trafford","62","76"
"Mixed","Wakefield","63","67"
"Mixed","Walsall","55","75"
"Mixed","Waltham Forest","70","82"
"Mixed","Wandsworth","70","77"
"Mixed","Warrington","61","74"
"Mixed","Warwickshire","69","87"
"Mixed","West Berkshire","70","83"
"Mixed","West Sussex","60","77"
"Mixed","Westminster","74","86"
"Mixed","Wigan","71","87"
"Mixed","Wiltshire","62","75"
"Mixed","Windsor and Maidenhead","70","93"
"Mixed","Wirral","66","83"
"Mixed","Wokingham","70","76"
"Mixed","Wolverhampton","58","74"
"Mixed","Worcestershire","72","83"
"Mixed","York","70","75"
"White","Barking and Dagenham","54","69"
"White","Barnet","66","79"
"White","Barnsley","59","76"
"White","Bath and North East Somerset","64","78"
"White","Bedford","57","75"
"White","Bexley","68","78"
"White","Birmingham","59","70"
"White","Blackburn with Darwen","58","75"
"White","Blackpool","61","73"
"White","Bolton","62","73"
"White","Bournemouth","64","77"
"White","Bracknell Forest","64","82"
"White","Bradford","58","72"
"White","Brent","60","73"
"White","Brighton and Hove","62","77"
"White","Bristol, City of","62","76"
"White","Bromley","72","80"
"White","Buckinghamshire","65","80"
"White","Bury","63","74"
"White","Calderdale","55","74"
"White","Cambridgeshire","62","74"
"White","Camden","67","74"
"White","Central Bedfordshire","67","79"
"White","Cheshire East","63","78"
"White","Cheshire West and Chester","61","75"
"White","City of London","!","!"
"White","Cornwall","58","74"
"White","County Durham","67","79"
"White","Coventry","55","70"
"White","Croydon","64","78"
"White","Cumbria","62","77"
"White","Darlington","65","78"
"White","Derby","59","74"
"White","Derbyshire","64","77"
"White","Devon","62","77"
"White","Doncaster","62","76"
"White","Dorset","64","75"
"White","Dudley","59","76"
"White","Ealing","67","78"
"White","East Riding of Yorkshire","65","77"
"White","East Sussex","66","81"
"White","Enfield","61","70"
"White","Essex","65","77"
"White","Gateshead","64","78"
"White","Gloucestershire","63","75"
"White","Greenwich","66","76"
"White","Hackney","69","83"
"White","Halton","60","74"
"White","Hammersmith and Fulham","73","80"
"White","Hampshire","68","80"
"White","Haringey","68","79"
"White","Harrow","64","74"
"White","Hartlepool","65","80"
"White","Havering","65","78"
"White","Herefordshire, County of","65","82"
"White","Hertfordshire","65","78"
"White","Hillingdon","57","75"
"White","Hounslow","64","79"
"White","Isle of Wight","51","69"
"White","Isles of Scilly","!","!"
"White","Islington","68","84"
