"Ethnicity","Geography","%"
"Mixed","Poole","72"
"Mixed","Portsmouth","74"
"Mixed","Reading","66"
"Mixed","Redbridge","75"
"Mixed","Redcar and Cleveland","83"
"Mixed","Richmond upon Thames","79"
"Mixed","Rochdale","66"
"Mixed","Rotherham","71"
"Mixed","Rutland","67"
"Mixed","Salford","70"
"Mixed","Sandwell","66"
"Mixed","Sefton","69"
"Mixed","Sheffield","65"
"Mixed","Shropshire","68"
"Mixed","Slough","70"
"Mixed","Solihull","71"
"Mixed","Somerset","76"
"Mixed","South Gloucestershire","80"
"Mixed","South Tyneside","58"
"Mixed","Southampton","70"
"Mixed","Southend-on-Sea","73"
"Mixed","Southwark","75"
"Mixed","St. Helens","73"
"Mixed","Staffordshire","75"
"Mixed","Stockport","66"
"Mixed","Stockton-on-Tees","70"
"Mixed","Stoke-on-Trent","73"
"Mixed","Suffolk","70"
"Mixed","Sunderland","72"
"Mixed","Surrey","78"
"Mixed","Sutton","74"
"Mixed","Swindon","75"
"Mixed","Tameside","71"
"Mixed","Telford and Wrekin","69"
"Mixed","Thurrock","72"
"Mixed","Torbay","71"
"Mixed","Tower Hamlets","71"
"Mixed","Trafford","70"
"Mixed","Wakefield","65"
"Mixed","Walsall","65"
"Mixed","Waltham Forest","76"
"Mixed","Wandsworth","73"
"Mixed","Warrington","68"
"Mixed","Warwickshire","77"
"Mixed","West Berkshire","78"
"Mixed","West Sussex","68"
"Mixed","Westminster","79"
"Mixed","Wigan","79"
"Mixed","Wiltshire","68"
"Mixed","Windsor and Maidenhead","82"
"Mixed","Wirral","73"
"Mixed","Wokingham","73"
"Mixed","Wolverhampton","66"
"Mixed","Worcestershire","77"
"Mixed","York","72"
"White","Barking and Dagenham","62"
"White","Barnet","72"
"White","Barnsley","67"
"White","Bath and North East Somerset","71"
"White","Bedford","66"
"White","Bexley","73"
"White","Birmingham","64"
"White","Blackburn with Darwen","66"
"White","Blackpool","67"
"White","Bolton","67"
"White","Bournemouth","70"
"White","Bracknell Forest","73"
"White","Bradford","65"
"White","Brent","66"
"White","Brighton and Hove","69"
"White","Bristol, City of","69"
"White","Bromley","75"
"White","Buckinghamshire","72"
"White","Bury","69"
"White","Calderdale","64"
"White","Cambridgeshire","68"
"White","Camden","71"
"White","Central Bedfordshire","73"
"White","Cheshire East","70"
"White","Cheshire West and Chester","68"
"White","City of London","!"
"White","Cornwall","66"
"White","County Durham","73"
"White","Coventry","62"
"White","Croydon","71"
"White","Cumbria","69"
"White","Darlington","71"
"White","Derby","67"
"White","Derbyshire","70"
"White","Devon","69"
"White","Doncaster","69"
"White","Dorset","70"
"White","Dudley","67"
"White","Ealing","72"
"White","East Riding of Yorkshire","71"
"White","East Sussex","73"
"White","Enfield","65"
"White","Essex","71"
"White","Gateshead","71"
"White","Gloucestershire","69"
"White","Greenwich","71"
"White","Hackney","76"
"White","Halton","67"
"White","Hammersmith and Fulham","77"
"White","Hampshire","74"
"White","Haringey","73"
"White","Harrow","69"
"White","Hartlepool","72"
"White","Havering","71"
"White","Herefordshire, County of","73"
"White","Hertfordshire","71"
"White","Hillingdon","66"
"White","Hounslow","71"
"White","Isle of Wight","60"
"White","Isles of Scilly","!"
"White","Islington","75"
"White","Kensington and Chelsea","78"
"White","Kent","72"
"White","Kingston upon Hull, City of","67"
"White","Kingston upon Thames","74"
"White","Kirklees","67"
"White","Knowsley","65"
"White","Lambeth","75"
"White","Lancashire","70"
"White","Leeds","63"
"White","Leicester","57"
"White","Leicestershire","69"
"White","Lewisham","76"
"White","Lincolnshire","67"
"White","Liverpool","64"
"White","Luton","63"
"White","Manchester","66"
"White","Medway","71"
"White","Merton","69"
"White","Middlesbrough","64"
"White","Milton Keynes","65"
"White","Newcastle upon Tyne","72"
"White","Newham","69"
"White","Norfolk","67"
"White","North East Lincolnshire","68"
"White","North Lincolnshire","71"
"White","North Somerset","72"
"White","North Tyneside","73"
"White","North Yorkshire","70"
"White","Northamptonshire","69"
"White","Northumberland","74"
"White","Nottingham","63"
"White","Nottinghamshire","68"
"White","Oldham","66"
"White","Oxfordshire","69"
"White","Peterborough","62"
"White","Plymouth","68"
"White","Poole","73"
"White","Portsmouth","66"
"White","Reading","65"
"White","Redbridge","69"
"White","Redcar and Cleveland","74"
"White","Richmond upon Thames","76"
"White","Rochdale","66"
"White","Rotherham","70"
"White","Rutland","69"
"White","Salford","67"
"White","Sandwell","62"
"White","Sefton","68"
"White","Sheffield","68"
"White","Shropshire","68"
"White","Slough","62"
"White","Solihull","71"
"White","Somerset","72"
"White","South Gloucestershire","73"
"White","South Tyneside","73"
"White","Southampton","68"
"White","Southend-on-Sea","69"
"White","Southwark","75"
"White","St. Helens","69"
"White","Staffordshire","73"
"White","Stockport","70"
"White","Stockton-on-Tees","73"
"White","Stoke-on-Trent","66"
"White","Suffolk","68"
"White","Sunderland","71"
"White","Surrey","72"
"White","Sutton","72"
"White","Swindon","71"
"White","Tameside","67"
"White","Telford and Wrekin","71"
"White","Thurrock","70"
"White","Torbay","68"
"White","Tower Hamlets","68"
"White","Trafford","73"
"White","Wakefield","66"
"White","Walsall","63"
"White","Waltham Forest","74"
"White","Wandsworth","83"
