"Ethnicity","Local Authority","Rate","Number"
"White","Northumberland","0.18","79"
"White","Nottingham","0.22","55"
"White","Nottinghamshire","0.03","35"
"White","Oldham","0.14","35"
"White","Oxfordshire","0.06","44"
"White","Peterborough","0.22","57"
"White","Plymouth","0.14","49"
"White","Poole","0.17","30"
"White","Portsmouth","0.08","16"
"White","Reading","0.06","7"
"White","Redbridge","0.10","13"
"White","Redcar and Cleveland","0.30","63"
"White","Richmond upon Thames","0.03","7"
"White","Rochdale","0.28","65"
"White","Rotherham","0.10","37"
"White","Rutland","0.06","3"
"White","Salford","0.19","54"
"White","Sandwell","0.07","19"
"White","Sefton","0.07","25"
"White","Sheffield","0.15","86"
"White","Shropshire","0.17","61"
"White","Slough","0.07","6"
"White","Solihull","0.13","38"
"White","Somerset","0.14","91"
"White","South Gloucestershire","0.15","53"
"White","South Tyneside","0.18","37"
"White","Southampton","0.06","14"
"White","Southend-on-Sea","0.02","4"
"White","Southwark","0.09","12"
"White","St. Helens","0.04","10"
"White","Staffordshire","0.14","150"
"White","Stockport","0.13","45"
"White","Stockton-on-Tees","0.18","52"
"White","Stoke-on-Trent","0.15","44"
"White","Suffolk","0.10","91"
"White","Sunderland","0.24","89"
"White","Surrey","0.04","52"
"White","Sutton","0.09","20"
"White","Swindon","0.12","32"
"White","Tameside","0.20","58"
"White","Telford and Wrekin","0.09","22"
"White","Thurrock","0.12","25"
"White","Torbay","0.18","34"
"White","Tower Hamlets","0.02","1"
"White","Trafford","0.15","43"
"White","Wakefield","0.17","79"
"White","Walsall","0.14","43"
"White","Waltham Forest","0.05","8"
"White","Wandsworth","0.00","0"
"White","Warrington","0.04","11"
"White","Warwickshire","0.08","54"
"White","West Berkshire","0.10","23"
"White","West Sussex","0.12","116"
"White","Westminster","0.10","6"
"White","Wigan","0.12","52"
"White","Wiltshire","0.03","21"
"White","Windsor and Maidenhead","0.13","20"
"White","Wirral","0.08","37"
