"Ethnicity","category","year","value","value type","","",""
"White","Higher","Jun-14","94.87179","%","","",""
"White British","Higher","Jun-14","94.87179","%","","",""
"White other","Higher","Jun-14","0","%","","",""
"Mixed","Higher","Jun-14","5.12821","%","","",""
"Mixed White/Black Caribbean","Higher","Jun-14","0","%","","",""
"Mixed White/Black African","Higher","Jun-14","2.5641","%","","",""
"Mixed White/Asian","Higher","Jun-14","2.5641","%","","",""
"Mixed other","Higher","Jun-14","0","%","","",""
"Asian","Higher","Jun-14","0","%","","",""
"Indian","Higher","Jun-14","0","%","","",""
"Pakistani","Higher","Jun-14","0","%","","",""
"Bangladeshi","Higher","Jun-14","0","%","","",""
"Asian other","Higher","Jun-14","0","%","","",""
"Black","Higher","Jun-14","0","%","","",""
"Black Caribbean","Higher","Jun-14","0","%","","",""
"Black African","Higher","Jun-14","0","%","","",""
"Black other ","Higher","Jun-14","0","%","","",""
"Other inc Chinese","Higher","Jun-14","0","%","","",""
"Chinese","Higher","Jun-14","0","%","","",""
"Any other","Higher","Jun-14","0","%","","",""
"All","Higher","Jun-14","100","%","","",""
"White","CBE","Jun-14","94.39252","%","","",""
"White British","CBE","Jun-14","91.58879","%","","",""
"White other","CBE","Jun-14","2.80374","%","","",""
"Mixed","CBE","Jun-14","0","%","","",""
"Mixed White/Black Caribbean","CBE","Jun-14","0","%","","",""
"Mixed White/Black African","CBE","Jun-14","0","%","","",""
"Mixed White/Asian","CBE","Jun-14","0","%","","",""
"Mixed other","CBE","Jun-14","0","%","","",""
"Asian","CBE","Jun-14","3.73832","%","","",""
"Indian","CBE","Jun-14","0.93458","%","","",""
"Pakistani","CBE","Jun-14","1.86916","%","","",""
"Bangladeshi","CBE","Jun-14","0","%","","",""
"Asian other","CBE","Jun-14","0.93458","%","","",""
"Black","CBE","Jun-14","0.93458","%","","",""
"Black Caribbean","CBE","Jun-14","0.93458","%","","",""
"Black African","CBE","Jun-14","0","%","","",""
"Black other ","CBE","Jun-14","0","%","","",""
"Other inc Chinese","CBE","Jun-14","0.93458","%","","",""
"Chinese","CBE","Jun-14","0.93458","%","","",""
"Any other","CBE","Jun-14","0","%","","",""
"All","CBE","Jun-14","100","%","","",""
"White","OBE","Jun-14","91.11111","%","","",""
"White British","OBE","Jun-14","89.33333","%","","",""
"White other","OBE","Jun-14","1.77778","%","","",""
"Mixed","OBE","Jun-14","0.44444","%","","",""
"Mixed White/Black Caribbean","OBE","Jun-14","0.44444","%","","",""
"Mixed White/Black African","OBE","Jun-14","0","%","","",""
"Mixed White/Asian","OBE","Jun-14","0","%","","",""
"Mixed other","OBE","Jun-14","0","%","","",""
"Asian","OBE","Jun-14","4.88889","%","","",""
"Indian","OBE","Jun-14","3.11111","%","","",""
"Pakistani","OBE","Jun-14","0.88889","%","","",""
"Bangladeshi","OBE","Jun-14","0.44444","%","","",""
"Asian other","OBE","Jun-14","0.44444","%","","",""
"Black","OBE","Jun-14","3.11111","%","","",""
"Black Caribbean","OBE","Jun-14","2.66667","%","","",""
"Black African","OBE","Jun-14","0.44444","%","","",""
"Black other ","OBE","Jun-14","0","%","","",""
"Other inc Chinese","OBE","Jun-14","0.44444","%","","",""
"Chinese","OBE","Jun-14","0","%","","",""
"Any other","OBE","Jun-14","0.44444","%","","",""
"All","OBE","Jun-14","100","%","","",""
"White","MBE","Jun-14","92.91845","%","","",""
"White British","MBE","Jun-14","91.20172","%","","",""
"White other","MBE","Jun-14","1.71674","%","","",""
"Mixed","MBE","Jun-14","0.85837","%","","",""
"Mixed White/Black Caribbean","MBE","Jun-14","0.21459","%","","",""
"Mixed White/Black African","MBE","Jun-14","0","%","","",""
"Mixed White/Asian","MBE","Jun-14","0.64378","%","","",""
"Mixed other","MBE","Jun-14","0","%","","",""
"Asian","MBE","Jun-14","3.64807","%","","",""
"Indian","MBE","Jun-14","2.57511","%","","",""
"Pakistani","MBE","Jun-14","0.64378","%","","",""
"Bangladeshi","MBE","Jun-14","0.21459","%","","",""
"Asian other","MBE","Jun-14","0.21459","%","","",""
"Black","MBE","Jun-14","2.14592","%","","",""
"Black Caribbean","MBE","Jun-14","1.71674","%","","",""
"Black African","MBE","Jun-14","0.42918","%","","",""
"Black other ","MBE","Jun-14","0","%","","",""
"Other inc Chinese","MBE","Jun-14","0.42918","%","","",""
"Chinese","MBE","Jun-14","0.21459","%","","",""
"Any other","MBE","Jun-14","0.21459","%","","",""
"All","MBE","Jun-14","100","%","","",""
"White","BEM","Jun-14","95.89041","%","","",""
"White British","BEM","Jun-14","94.52055","%","","",""
"White other","BEM","Jun-14","1.36986","%","","",""
"Mixed","BEM","Jun-14","0.68493","%","","",""
"Mixed White/Black Caribbean","BEM","Jun-14","0","%","","",""
"Mixed White/Black African","BEM","Jun-14","0","%","","",""
"Mixed White/Asian","BEM","Jun-14","0.34247","%","","",""
"Mixed other","BEM","Jun-14","0.34247","%","","",""
"Asian","BEM","Jun-14","2.05479","%","","",""
"Indian","BEM","Jun-14","1.36986","%","","",""
"Pakistani","BEM","Jun-14","0.68493","%","","",""
"Bangladeshi","BEM","Jun-14","0","%","","",""
"Asian other","BEM","Jun-14","0","%","","",""
"Black","BEM","Jun-14","1.0274","%","","",""
"Black Caribbean","BEM","Jun-14","0.68493","%","","",""
"Black African","BEM","Jun-14","0","%","","",""
"Black other ","BEM","Jun-14","0.34247","%","","",""
"Other inc Chinese","BEM","Jun-14","0.34247","%","","",""
"Chinese","BEM","Jun-14","0","%","","",""
"Any other","BEM","Jun-14","0.34247","%","","",""
"All","BEM","Jun-14","100","%","","",""
"White","All","Jun-14","93.5341","%","","",""
"White British","All","Jun-14","91.8512","%","","",""
"White other","All","Jun-14","1.68291","%","","",""
"Mixed","All","Jun-14","0.79717","%","","",""
"Mixed White/Black Caribbean","All","Jun-14","0.17715","%","","",""
"Mixed White/Black African","All","Jun-14","0.08857","%","","",""
"Mixed White/Asian","All","Jun-14","0.44287","%","","",""
"Mixed other","All","Jun-14","0.08857","%","","",""
"Asian","All","Jun-14","3.36581","%","","",""
"Indian","All","Jun-14","2.12578","%","","",""
"Pakistani","All","Jun-14","0.79717","%","","",""
"Bangladeshi","All","Jun-14","0.17715","%","","",""
"Asian other","All","Jun-14","0.26572","%","","",""
"Black","All","Jun-14","1.86005","%","","",""
"Black Caribbean","All","Jun-14","1.50576","%","","",""
"Black African","All","Jun-14","0.26572","%","","",""
"Black other ","All","Jun-14","0.08857","%","","",""
"Other inc Chinese","All","Jun-14","0.44287","%","","",""
"Chinese","All","Jun-14","0.17715","%","","",""
"Any other","All","Jun-14","0.26572","%","","",""
"All","All","Jun-14","100","%","","",""
"Unknown ","Higher","Jun-14","10","number ","","",""
"Unknown ","CBE","Jun-14","8","number ","","",""
"Unknown ","OBE","Jun-14","2","number ","","",""
"Unknown ","MBE","Jun-14","8","number ","","",""
"Unknown ","BEM","Jun-14","8","number ","","",""
"Unknown ","All","Jun-14","36","number ","","",""
