"Ethnicity","Local authority","%"
"Other","Buckinghamshire","4.8"
"Other","Bury","4.6"
"Other","Calderdale","3.6"
"Other","Cambridgeshire","4.5"
"Other","Camden","4.6"
"Other","Central Bedfordshire","5.6"
"Other","Cheshire East","4.9"
"Other","Cheshire West and Chester","4.0"
"Other","City of London","1.9"
"Other","Cornwall","6.4"
"Other","Coventry","5.0"
"Other","Croydon","4.6"
"Other","Cumbria","5.9"
"Other","Darlington","5.2"
"Other","Derby","4.6"
"Other","Derbyshire","4.9"
"Other","Devon","4.5"
"Other","Doncaster","5.3"
"Other","Dorset","5.1"
"Other","Dudley","4.8"
"Other","Durham","4.9"
"Other","Ealing","4.2"
"Other","East Riding of Yorkshire","4.0"
"Other","East Sussex","4.6"
"Other","Enfield","4.6"
"Other","Essex","3.7"
"Other","Gateshead","4.0"
"Other","Gloucestershire","4.8"
"Other","Greenwich","3.8"
"Other","Hackney","4.1"
"Other","Halton","4.3"
"Other","Hammersmith and Fulham","5.0"
"Other","Hampshire","3.8"
"Other","Haringey","4.5"
"Other","Harrow","4.7"
"Other","Hartlepool","4.8"
"Other","Havering","4.2"
"Other","Herefordshire","4.3"
"Other","Hertfordshire","4.5"
"Other","Hillingdon","3.8"
"Other","Hounslow","4.1"
"Other","Isle of Wight","5.6"
"Other","Isles Of Scilly","NA"
"Other","Islington","4.4"
"Other","Kensington and Chelsea","4.5"
"Other","Kent","4.1"
"Other","Kingston upon Hull City of","4.2"
"Other","Kingston upon Thames","3.9"
"Other","Kirklees","5.1"
"Other","Knowsley","5.8"
"Other","Lambeth","5.0"
"Other","Lancashire","5.2"
"Other","Leeds","4.2"
"Other","Leicester","5.0"
"Other","Leicestershire","4.7"
"Other","Lewisham","4.1"
"Other","Lincolnshire","4.2"
"Other","Liverpool","4.3"
"Other","Luton","5.0"
"Other","Manchester","4.0"
"Other","Medway","3.9"
"Other","Merton","3.9"
"Other","Middlesbrough","4.7"
"Other","Milton Keynes","4.5"
"Other","Newcastle upon Tyne","4.3"
"Other","Newham","4.1"
"Other","Norfolk","4.6"
"Other","North East Lincolnshire","4.3"
"Other","North Lincolnshire","5.2"
"Other","North Somerset","4.0"
"Other","North Tyneside","4.3"
"Other","North Yorkshire","4.2"
"Other","Northamptonshire","4.3"
"Other","Northumberland","5.3"
"Other","Nottingham","4.5"
"Other","Nottinghamshire","4.3"
"Other","Oldham","6.8"
"Other","Oxfordshire","4.1"
"Other","Peterborough","4.2"
