"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","121","Miles per person per year","192943","192044","12676","12523","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","57","Miles per person per year","91637","86551","5373","4852","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","510","Miles per person per year","815183","737361","30918","27232","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","53","Miles per person per year","85473","79470","18356","16719","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","200","Miles per person per year","320439","289920","505985","447588","83421","82800",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","4595","Miles per person per year","453948","386225","96028","80230","5151","4717",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","13","Miles per person per year","1254","981","646","505","5151","4717",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","227","Miles per person per year","22451","18544","6726","5642","5151","4717",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1832","Miles per person per year","181043","154619","25341","21634","5151","4717",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1263","Miles per person per year","124746","112274","18359","16491","5151","4717",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","198","Miles per person per year","19607","15543","2792","2194","5151","4717",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","160","Miles per person per year","15781","12585","3855","3040","5151","4717",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","48","Miles per person per year","4762","4391","529","412","5151","4717",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","518","Miles per person per year","51178","40496","2609","2121","5151","4717",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","36","Miles per person per year","3536","2866","729","614","5151","4717",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","186","Miles per person per year","18387","15006","33939","27208","5151","4717",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","4637","Miles per person per year","214891","191914","49145","43767","2416","2316",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","628","Miles per person per year","29084","26609","9051","8286","2416","2316",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1572","Miles per person per year","72859","65037","9238","8216","2416","2316",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","958","Miles per person per year","44379","40832","5849","5476","2416","2316",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","231","Miles per person per year","10686","9305","1609","1409","2416","2316",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","254","Miles per person per year","11750","10036","2524","2200","2416","2316",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","37","Miles per person per year","1728","1498","375","349","2416","2316",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","565","Miles per person per year","26200","22262","1667","1444","2416","2316",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","43","Miles per person per year","1975","1746","468","421","2416","2316",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","189","Miles per person per year","8775","7672","17753","15420","2416","2316",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","5088","Miles per person per year","134401","119199","27420","24028","1377","1290",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","33","Miles per person per year","882","715","385","320","1377","1290",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","243","Miles per person per year","6426","5423","1971","1681","1377","1290",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1382","Miles per person per year","36493","30829","4489","3884","1377","1290",""
"Average distance per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","1924","Miles per person per year","50833","48162","6633","6336","1377","1290",""
