"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","20","Trips per person per year","454","422","1184","1140","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","106","Trips per person per year","2414","2042","1184","1140","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","207","Trips per person per year","4706","4561","1184","1140","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","217","Trips per person per year","4921","4555","1184","1140","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","99","Trips per person per year","2254","2020","1184","1140","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","42","Trips per person per year","956","797","1184","1140","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","78","Trips per person per year","1771","1568","1184","1140","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","114","Trips per person per year","2583","2098","1184","1140","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","796","Trips per person per year","15959","13930","1045","959","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","30","Trips per person per year","606","505","1045","959","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","144","Trips per person per year","2884","2368","1045","959","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","161","Trips per person per year","3223","3214","1045","959","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","144","Trips per person per year","2889","2631","1045","959","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","71","Trips per person per year","1416","1275","1045","959","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","29","Trips per person per year","578","459","1045","959","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","68","Trips per person per year","1354","1162","1045","959","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","150","Trips per person per year","3009","2316","1045","959","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","All Purposes","972","Trips per person per year","1282818","1197787","68842","68371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Business","32","Trips per person per year","42646","40485","68842","68371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Commuting","145","Trips per person per year","191817","167518","68842","68371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Education / escort education","109","Trips per person per year","144379","139812","68842","68371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Leisure","260","Trips per person per year","343925","334581","68842","68371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Other escort","88","Trips per person per year","115791","106185","68842","68371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Other including just walk","53","Trips per person per year","69808","67148","68842","68371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Personal business","93","Trips per person per year","122170","115279","68842","68371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","White","ONS 2011 5+1","Shopping","191","Trips per person per year","252283","226779","68842","68371","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","957","Trips per person per year","1427811","1328686","77773","76547","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","31","Trips per person per year","45741","43444","77773","76547","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","145","Trips per person per year","216366","188124","77773","76547","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","119","Trips per person per year","178010","173293","77773","76547","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","247","Trips per person per year","369114","357354","77773","76547","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","86","Trips per person per year","128092","116359","77773","76547","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","53","Trips per person per year","78494","75824","77773","76547","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","93","Trips per person per year","138129","129530","77773","76547","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","184","Trips per person per year","273866","244758","77773","76547","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","802","Trips per person per year","92683","81409","6026","5579","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","18","Trips per person per year","2037","1783","6026","5579","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","155","Trips per person per year","17899","14975","6026","5579","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","166","Trips per person per year","19185","18274","6026","5579","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","143","Trips per person per year","16523","14952","6026","5579","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","70","Trips per person per year","8042","7079","6026","5579","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","25","Trips per person per year","2832","2510","6026","5579","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","89","Trips per person per year","10329","8963","6026","5579","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","137","Trips per person per year","15836","12873","6026","5579","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","776","Trips per person per year","36358","33248","2443","2362","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","27","Trips per person per year","1246","1163","2443","2362","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","140","Trips per person per year","6551","5661","2443","2362","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","174","Trips per person per year","8150","8244","2443","2362","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","128","Trips per person per year","5987","5496","2443","2362","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","68","Trips per person per year","3198","2926","2443","2362","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","16","Trips per person per year","727","689","2443","2362","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","107","Trips per person per year","5014","4553","2443","2362","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","117","Trips per person per year","5486","4516","2443","2362","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","902","Trips per person per year","19802","17578","1145","1083","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","20","Trips per person per year","434","392","1145","1083","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","112","Trips per person per year","2463","1990","1145","1083","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","198","Trips per person per year","4343","4173","1145","1083","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","228","Trips per person per year","4997","4602","1145","1083","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","101","Trips per person per year","2216","1982","1145","1083","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","49","Trips per person per year","1085","923","1145","1083","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","74","Trips per person per year","1632","1426","1145","1083","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","120","Trips per person per year","2633","2090","1145","1083","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","808","Trips per person per year","15861","13798","1024","937","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","27","Trips per person per year","523","447","1024","937","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","149","Trips per person per year","2918","2357","1024","937","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","176","Trips per person per year","3457","3403","1024","937","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","138","Trips per person per year","2720","2475","1024","937","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","79","Trips per person per year","1557","1309","1024","937","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","31","Trips per person per year","611","522","1024","937","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","63","Trips per person per year","1234","1061","1024","937","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","145","Trips per person per year","2841","2224","1024","937","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","White","ONS 2011 5+1","All Purposes","981","Trips per person per year","1262541","1182036","67101","66549","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","White","ONS 2011 5+1","Business","32","Trips per person per year","41489","39647","67101","66549","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","White","ONS 2011 5+1","Commuting","145","Trips per person per year","186506","163107","67101","66549","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","White","ONS 2011 5+1","Education / escort education","111","Trips per person per year","142742","139036","67101","66549","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","White","ONS 2011 5+1","Leisure","263","Trips per person per year","338763","329687","67101","66549","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","White","ONS 2011 5+1","Other escort","88","Trips per person per year","113038","103005","67101","66549","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","White","ONS 2011 5+1","Other including just walk","57","Trips per person per year","73211","71155","67101","66549","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","White","ONS 2011 5+1","Personal business","93","Trips per person per year","119850","113456","67101","66549","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2014/18","5-year rolling average","White","ONS 2011 5+1","Shopping","192","Trips per person per year","246942","222943","67101","66549","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","960","Trips per person per year","1396388","1298490","75861","74412","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","30","Trips per person per year","43344","41132","75861","74412","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","143","Trips per person per year","208598","182131","75861","74412","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","121","Trips per person per year","175972","169492","75861","74412","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","248","Trips per person per year","361300","349142","75861","74412","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","85","Trips per person per year","124192","113213","75861","74412","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","56","Trips per person per year","82196","79763","75861","74412","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","91","Trips per person per year","132643","125243","75861","74412","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","184","Trips per person per year","268143","238374","75861","74412","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","809","Trips per person per year","93954","82266","6052","5556","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","19","Trips per person per year","2203","1902","6052","5556","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","154","Trips per person per year","17871","15026","6052","5556","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","173","Trips per person per year","20132","18903","6052","5556","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","140","Trips per person per year","16259","14741","6052","5556","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","73","Trips per person per year","8457","7488","6052","5556","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","27","Trips per person per year","3125","2782","6052","5556","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","86","Trips per person per year","9994","8602","6052","5556","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","137","Trips per person per year","15914","12822","6052","5556","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","773","Trips per person per year","36564","32843","2466","2327","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","26","Trips per person per year","1237","1114","2466","2327","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","143","Trips per person per year","6777","5792","2466","2327","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","175","Trips per person per year","8287","8168","2466","2327","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","129","Trips per person per year","6101","5515","2466","2327","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","66","Trips per person per year","3124","2808","2466","2327","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","15","Trips per person per year","721","672","2466","2327","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","102","Trips per person per year","4814","4305","2466","2327","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","116","Trips per person per year","5503","4469","2466","2327","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","918","Trips per person per year","20435","17947","1161","1081","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","20","Trips per person per year","439","391","1161","1081","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","106","Trips per person per year","2367","1926","1161","1081","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","225","Trips per person per year","5001","4737","1161","1081","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","225","Trips per person per year","5003","4550","1161","1081","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","96","Trips per person per year","2141","1893","1161","1081","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","45","Trips per person per year","1005","861","1161","1081","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","70","Trips per person per year","1561","1358","1161","1081","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","131","Trips per person per year","2917","2231","1161","1081","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","840","Trips per person per year","15478","13669","961","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","26","Trips per person per year","484","428","961","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","148","Trips per person per year","2731","2256","961","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","192","Trips per person per year","3539","3517","961","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","142","Trips per person per year","2623","2377","961","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","88","Trips per person per year","1624","1373","961","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","32","Trips per person per year","589","534","961","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","65","Trips per person per year","1203","1053","961","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","146","Trips per person per year","2684","2131","961","895","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","White","ONS 2011 5+1","All Purposes","983","Trips per person per year","1229460","1151222","65190","64519","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","White","ONS 2011 5+1","Business","31","Trips per person per year","38969","37285","65190","64519","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","White","ONS 2011 5+1","Commuting","143","Trips per person per year","178829","157101","65190","64519","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","White","ONS 2011 5+1","Education / escort education","111","Trips per person per year","138895","134018","65190","64519","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","White","ONS 2011 5+1","Leisure","265","Trips per person per year","331248","321877","65190","64519","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","White","ONS 2011 5+1","Other escort","87","Trips per person per year","108788","99582","65190","64519","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","White","ONS 2011 5+1","Other including just walk","61","Trips per person per year","76746","74903","65190","64519","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","White","ONS 2011 5+1","Personal business","92","Trips per person per year","115014","109865","65190","64519","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2015/19","5-year rolling average","White","ONS 2011 5+1","Shopping","193","Trips per person per year","240971","216591","65190","64519","","","","","","","","","","","","","","",""
