"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Denominator","Numerator"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Hertfordshire","Local authority","E10000015","Girls","56.2","4999","280712.88"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bristol, City of","Local authority","E06000023","All","49.3","2361","116370"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bromley","Local authority","E09000006","All","54.5","3411","186034"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Outer London","Region","E12000007","Girls","53.7","4932","264755.88"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Bromley","Local authority","E09000006","All","68.9","254","17497.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Bromley","Local authority","E09000006","All","53.6","362","19404.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bromley","Local authority","E09000006","All","74.8","40","2992"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bromley","Local authority","E09000006","All","53.5","341","18232.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bromley","Local authority","E09000006","All","53.1","2314","122821.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Outer London","Region","E12000007","Boys","46.1","4757","219393"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Buckinghamshire","Local authority","E10000002","All","58","5981","346684"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Buckinghamshire","Local authority","E10000002","All","60.5","1229","74400.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Staffordshire","Local authority","E10000028","Boys","45.9","4666","214054.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Surrey","Local authority","E10000030","Boys","50.7","4523","229493.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Buckinghamshire","Local authority","E10000002","All","55.3","186","10290"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Buckinghamshire","Local authority","E10000002","All","75.9","30","2276.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Surrey","Local authority","E10000030","Girls","55.7","4382","244210.5"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Buckinghamshire","Local authority","E10000002","All","55.6","360","20005.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Buckinghamshire","Local authority","E10000002","All","57.4","4080","234219.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","West Sussex","Local authority","E10000032","Boys","47.8","4321","206650.76"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bury","Local authority","E08000002","All","48.1","2174","104643"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Leeds","Local authority","E08000035","Boys","45","4255","191365.38"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Staffordshire","Local authority","E10000028","Boys","45.9","4239","194624"
